Word  Worst  Mean
birle   291  18.66
blaer   291  18.66
blear   291  18.81
rhine   291  19.95
liber   291  20.48
trefa   291  21.04
steam   291  21.83
abler   291  21.83
geans   291  21.83
leuco   291  22.25
hairy   291  22.69
genas   291  22.69
after   291  22.91
cosey   291  23.86
ostia   291  25.43
liker   291  26.60
coxae   291  28.57
crine   292  18.22
slice   292  18.66
flare   292  18.66
aleft   292  19.45
farle   292  19.45
feral   292  19.78
shone   292  19.95
clies   292  19.95
waler   292  20.66
liney   292  20.85
ciels   292  21.04
nicer   292  21.43
ceils   292  21.63
moles   292  22.47
vitae   292  22.69
lawer   292  22.91
lomes   292  22.91
vaute   292  24.36
ogler   292  25.43
cytes   292  27.22
axite   292  28.93
korai   292  31.27
birse   293  19.45
parol   293  19.45
poral   293  19.95
polar   293  20.12
brise   293  20.30
bries   293  20.85
snary   293  21.63
agent   293  22.25
ribes   293  22.25
loges   293  22.47
tosed   293  22.69
breis   293  22.91
goles   293  22.91
biers   293  23.14
dotes   293  23.14
lerps   293  23.14
segol   293  23.61
abode   293  24.10
adobe   293  24.62
yarns   293  26.00
ogles   293  28.57
slope   294  19.28
argil   294  19.61
taroc   294  19.61
grail   294  19.78
grise   294  19.95
glair   294  20.30
seity   294  20.30
actor   294  20.66
poles   294  21.23
tauon   294  21.23
lopes   294  22.04
garis   294  22.25
ragis   294  22.47
gairs   294  22.69
tatie   294  22.69
olpes   294  23.86
yetis   294  27.88
awoke   294  28.22
suite   295  17.94
prose   295  18.81
spore   295  18.97
their   295  19.28
poser   295  19.28
heard   295  19.28
beast   295  19.45
baste   295  19.95
besat   295  19.95
pores   295  19.95
hared   295  20.12
shiel   295  20.12
basen   295  20.66
sarod   295  20.85
triac   295  20.85
beats   295  21.43
lithe   295  21.63
bates   295  21.83
ropes   295  21.83
beans   295  22.25
noria   295  22.25
tabes   295  22.25
artic   295  22.47
leish   295  22.47
banes   295  22.69
sorda   295  22.69
betas   295  22.91
dorsa   295  23.14
heils   295  23.14
rahed   295  23.14
repos   295  23.37
kesar   295  23.61
roads   295  23.61
reaks   295  24.10
skear   295  24.36
yamen   295  24.36
nabes   295  24.62
ither   295  25.15
saker   295  25.43
abets   295  26.60
rakes   295  27.55
asker   295  28.57
eskar   295  29.29
chare   296  17.27
reach   296  18.37
morse   296  18.97
range   296  19.28
anger   296  19.45
regna   296  20.30
renga   296  20.48
coria   296  20.66
mores   296  20.66
smore   296  20.85
moers   296  21.23
hosen   296  21.43
rache   296  21.43
hones   296  22.25
herns   296  22.69
goels   296  23.86
abune   296  25.43
omers   296  25.43
omega   296  26.91
kauri   296  33.54
prise   297  17.94
spire   297  18.08
spier   297  18.08
wrate   297  18.22
blase   297  18.81
drole   297  19.28
pries   297  19.28
sable   297  19.28
algor   297  19.45
goral   297  19.61
speir   297  19.78
water   297  19.95
argol   297  20.30
beals   297  20.30
airth   297  20.48
bales   297  20.66
tawer   297  20.66
blaes   297  20.85
piers   297  20.85
peris   297  21.04
largo   297  21.23
ripes   297  21.23
older   297  21.83
baels   297  21.83
epris   297  22.47
rolag   297  22.69
cagey   297  24.10
ables   297  25.15
hovea   297  27.55
azure   297  33.06
phare   298  18.81
mitre   298  18.97
merit   298  19.28
chase   298  19.28
timer   298  19.28
sware   298  19.61
miter   298  20.12
hepar   298  20.30
remit   298  20.48
swear   298  21.04
raphe   298  21.23
wares   298  21.43
wears   298  21.83
sewar   298  22.04
resaw   298  22.47
sawer   298  22.47
aulos   298  24.36
aches   298  28.93
sloan   299  19.61
salon   299  20.12
solan   299  20.30
paris   299  20.85
pairs   299  21.23
loans   299  22.04
abide   299  23.86
towie   299  26.60
zoeas   299  38.57
brane   300  18.37
laden   300  19.45
eland   300  19.78
naled   300  19.95
sonde   300  20.30
lande   300  20.48
